name,latitude_deg,longitude_deg,iso_country
Hassi Messaoud-Oued Irara Krim Belkacem Airport,31.673,6.14044,Algeria
In Salah Airport,27.250999,2.51202,Algeria
Touggourt Sidi Madhi Airport,33.067799,6.08867,Algeria
Laghouat - Molay Ahmed Medeghri Airport,33.7644,2.92834,Algeria
Guemar Airport - مطار قمار بالوادي,33.511398,6.77679,Algeria
Timimoun Airport,29.237101,0.276033,Algeria
Ain Beida Airport,31.9172,5.41278,Algeria
Zarzaitine - In Aménas Airport,28.0515,9.64291,Algeria
Cadjehoun Airport,6.357230186462402,2.384350061416626,Benin
Ouagadougou Airport,12.3532,-1.51242,Burkina
Bobo Dioulasso Airport,11.160099983215332,-4.33096981048584,Burkina
Kotoka International Airport,5.605189800262451,-0.1667860001325607,Ghana
Ho Airport,6.579691,0.532547,Ghana
Tamale Airport,9.55718994140625,-0.8632140159606934,Ghana
Kumasi Airport,6.714560031890869,-1.5908199548721311,Ghana
Sunyani Airport,7.36183,-2.32876,Ghana
Takoradi Airport,4.896059989929199,-1.7747600078582764,Ghana
Félix-Houphouët-Boigny International Airport,5.26139,-3.92629,Ivory Coast
Bouaké Airport,7.7388,-5.07367,Ivory Coast
Daloa Airport,6.79281,-6.47319,Ivory Coast
Korhogo Airport,9.38718,-5.55666,Ivory Coast
Man Airport,7.27207,-7.58736,Ivory Coast
San Pedro Airport,4.74672,-6.66082,Ivory Coast
Yamoussoukro Airport,6.9031701088,-5.36558008194,Ivory Coast
Nnamdi Azikiwe International Airport,9.00679,7.26317,Nigeria
Akwa Ibom International Airport,4.8725,8.093,Nigeria
Akure Airport,7.246739864349365,5.3010101318359375,Nigeria
Asaba International Airport,6.204167,6.665278,Nigeria
Sir Abubakar Tafawa Balewa International Airport,10.482833,9.744,Nigeria
Benin Airport,6.316979885101318,5.599500179290772,Nigeria
Bayelsa International Airport,4.95759,6.203327,Nigeria
Margaret Ekpo International Airport,4.976019859313965,8.347200393676758,Nigeria
Akanu Ibiam International Airport,6.474269866943359,7.561960220336914,Nigeria
Gombe Lawanti International Airport,10.298889,10.9,Nigeria
Gusau Airport,12.17286,6.696136,Nigeria
Ibadan Airport,7.362460136413574,3.97832989692688,Nigeria
Ilorin International Airport,8.440210342407227,4.493919849395752,Nigeria
Sam Mbakwe International Airport,5.427060127258301,7.206029891967773,Nigeria
Yakubu Gowon Airport,9.639829635620115,8.869050025939941,Nigeria
